iter	RMSE
0	77323.25716
1	75857.44802
2	74465.36338
3	73180.09025
4	71826.11858
5	70565.06567
6	69280.55922
7	68086.128
8	66928.25785
9	65715.81877
10	64484.54266
11	63358.10047
12	62296.20114
13	61314.922
14	60269.90454
15	59308.13265
16	58323.60586
17	57474.14145
18	56517.47474
19	55580.76211
20	54747.13153
21	53826.4199
22	53043.73338
23	52337.35074
24	51570.57661
25	50754.35747
26	50010.65226
27	49287.13944
28	48559.06971
29	47858.44992
30	47235.44316
31	46604.44205
32	46005.46455
33	45408.21142
34	44809.88825
35	44239.44799
36	43760.64135
37	43196.16122
38	42653.4858
39	42141.81027
40	41609.42532
41	41086.90626
42	40652.59539
43	40179.42294
44	39723.51449
45	39269.97617
46	38814.09713
47	38391.36894
48	37987.55019
49	37526.07047
50	37153.48866
51	36804.79158
52	36483.05063
53	36117.32353
54	35775.65934
55	35483.3165
56	35157.86025
57	34871.42117
58	34540.5381
59	34193.88866
60	33855.05211
61	33562.93636
62	33257.26328
63	32954.52685
64	32657.46566
65	32384.04536
66	32118.467
67	31855.99079
68	31621.33474
69	31394.82287
70	31141.67179
71	30913.03578
72	30684.37056
73	30454.12171
74	30237.2924
75	30047.08816
76	29829.25677
77	29640.49274
78	29401.77253
79	29198.84337
80	29006.40081
81	28831.59871
82	28611.62326
83	28402.46494
84	28198.93917
85	28015.99289
86	27844.32343
87	27679.32447
88	27505.41705
89	27349.61587
90	27226.3024
91	27082.21684
92	26926.33239
93	26772.14239
94	26651.66278
95	26511.35102
96	26388.60192
97	26255.54247
98	26160.69986
99	26057.94301
100	25912.65296
101	25803.96756
102	25674.9596
103	25556.379
104	25460.5361
105	25380.24736
106	25269.34817
107	25146.45715
108	25057.27338
109	24923.87113
110	24836.271
111	24771.43553
112	24640.60444
113	24552.28522
114	24455.58847
115	24370.86382
116	24283.45826
117	24201.97131
118	24099.85767
119	24006.32818
120	23903.34934
121	23821.77111
122	23777.7784
123	23677.53009
124	23581.88106
125	23494.76672
126	23451.85168
127	23382.74422
128	23283.49178
129	23200.26514
130	23128.60228
131	23039.55745
132	22954.34471
133	22895.24387
134	22831.84036
135	22750.96583
136	22675.45408
137	22591.37119
138	22517.73954
139	22442.47413
140	22375.20858
141	22309.96079
142	22243.28471
143	22185.03762
144	22125.60508
145	22050.31719
146	21989.14495
147	21904.79221
148	21808.73303
149	21740.8558
150	21663.02731
151	21599.69496
152	21548.98849
153	21492.24932
154	21411.28893
155	21361.2185
156	21290.34038
157	21223.77932
158	21172.26497
159	21118.00825
160	21063.45549
161	20993.25559
162	20949.04387
163	20878.72119
164	20798.69447
165	20727.18309
166	20682.45266
167	20629.76054
168	20573.68977
169	20531.76137
170	20484.26993
171	20442.8734
172	20388.97226
173	20344.14142
174	20296.39865
175	20250.34033
176	20207.29251
177	20159.86227
178	20118.49819
179	20085.81928
180	20037.95172
181	19998.59713
182	19940.99834
183	19897.9469
184	19869.52541
185	19829.92386
186	19799.55805
187	19771.60477
188	19736.08003
189	19707.32132
190	19664.75187
191	19638.96961
192	19603.63725
193	19566.75378
194	19537.38513
195	19487.60387
196	19441.40244
197	19398.59627
198	19353.68751
199	19322.71621
200	19287.00378
201	19241.36632
202	19199.92902
203	19173.11065
204	19141.82051
205	19108.15513
206	19080.39251
207	19048.36786
208	18991.84945
209	18940.87038
210	18908.01972
211	18877.44731
212	18842.02165
213	18804.88687
214	18773.13869
215	18749.35178
216	18713.70481
217	18684.52713
218	18645.79022
219	18618.53111
220	18592.94828
221	18561.96162
222	18527.57724
223	18510.01001
224	18480.71753
225	18447.09449
226	18420.966
227	18389.39683
228	18367.83543
229	18324.73547
230	18292.15434
231	18266.74815
232	18237.29943
233	18196.75898
234	18145.83884
235	18119.68957
236	18105.90153
237	18072.08649
238	18058.78952
239	18039.25529
240	18008.30999
241	17994.19666
242	17945.81736
243	17922.55768
244	17909.05963
245	17891.69323
246	17880.75313
247	17851.01547
248	17838.81341
249	17827.73306
250	17792.55836
251	17757.03934
252	17721.77746
253	17699.18991
254	17672.6292
255	17646.29957
256	17607.50558
257	17588.44645
258	17558.81236
259	17528.20486
260	17502.63765
261	17486.25096
262	17477.30781
263	17450.03616
264	17433.2714
265	17423.74477
266	17405.40744
267	17392.82972
268	17366.60902
269	17359.73762
270	17346.33577
271	17338.14268
272	17318.08592
273	17297.24412
274	17281.44572
